name,ingredients,method,glass_type,ice,garnish,seasonal_associations,strength,flavor_profile
78,Satan's Whiskers No.2,Gin,0.67,Shake and fine strain,Coupe,-,Orange zest,Autumn,Strong,Dry sweet
,,Dry Vermouth,0.67,,,,,Winter,,
,,Rosso Vermouth,0.67,,,,,,,
,,Veda,0.33,,,,,,,
,,Orange juice,0.67,,,,,,,
,,Orange bitters,1dash,,,,,,,
,,,,,,,,,,
79,New Carre,Rye whiskey,0.75,Stir,Double old fashioned,Block,Lemon zest,Winter,Strong,Dry sweet
,,Cognac,0.75,,,,,Autumn,,
,,Rosso Vermouth,0.75,,,,,,,
,,Veda,0.33,,,,,,,
,,Peychaud's bitters,2dashes,,,,,,,
,,Angostura bitters,1dash,,,,,,,
,,,,,,,,,,
80,New York Sling,Gin,1.50,Shake and fine strain,Sling glass,Cubed,Pineapple wedge,Summer,Medium,Sweet & Sour
,,Cherry heering,0.50,,,,Maraschino cherry,Spring,,Tropical
,,Veda,0.25,,,,,Autumn,,
,,Triple sec,0.25,,,,,,,
,,Pineapple juice,1.50,,,,,,,
,,Lime juice,0.50,,,,,,,
,,Grenadine ,0.10,,,,,,,
,,Angostura bitters,1dash,,,,,,,
,,,,,,,,,,
81,The Ground,Rye,1.50,Stir,Coupe,-,-,Autumn,Strong,Dry Sweet
,,Ammontillado Sherry,0.50,,,,,Winter,,
,,Veda,0.50,,,,,,,
,,Angostura bitters,3dashes,,,,,,,
,,,,,,,,,,
82,Hound's tooth,Vodka,1.50,Shake and fine strain,Coupe,-,Grapefruit Zest,Autumn,Medium,Dry Sweet
,,Veda,0.75,,,,,Winter,,Citrusy
,,Pink grapefruit juice,0.75,,,,,,,
,,Lemon juice,0.25,,,,,,,
,,Grapefruit bitters,2dashes,,,,,,,
,,,,,,,,,,
83,C'est la Evi,Cognac,1.50,Shake and fine strain,Coupe,-,Dehydrated apple,Autumn,Medium,Sweet & Sour
,,Veda,0.33,,,,,Winter,,Fruity
,,Apple juice,0.66,,,,,Spring,,
,,Lemon juice,0.33,,,,,,,
,,Cinnamon syrup,0.33,,,,,,,
,,,,,,,,,,
84,Coco Shroom,Gold rum,1.50,Stir,Coupe,-,White chocolate on rim,Autumn,Strong,Dry Sweet
,,Coconut rum,0.50,,,,,Spring,,
,,Veda,0.50,,,,,Summer,,
,,Fino sherry,0.50,,,,,,,
,,Vanilla bitters,2dashes,,,,,,,
,,,,,,,,,,
85,Highball no.2,Scotch,0.66,Build,Highball,Cubed,Lemon wedge,Summer,Medium,Dry Sweet
,,Rosso vermouth,0.50,,,,,Spring,,Effervescent
,,Veda,0.20,,,,,Autumn,,
,,Soda,2.50,,,,,Winter,,
,,,,,,,,,,
86,Death & Taxes no.2,Scotch,1.00,Stir,Coupe,-,Lemon zest,Winter,Strong,Dry Sweet
,,Gin,1.00,,,,,Autumn,,
,,Punt e Mes,0.75,,,,,,,
,,Veda,0.25,,,,,,,
,,Orange bitters,2dashes,,,,,,,
,,,,,,,,,,
87,Black dog Smash,Tennesy Whiskey,1.50,Shake and fine strain,highball,Crushed,Mint peak,Autumn,Medium,Sweet & Sour
,,Veda,0.50,,,,Orange zest,Spring,,
,,Lemon juice,0.33,,,,,Summer,,
,,Apricot jam,2 brspn,,,,,,,
,,Angostura bitters,2dashes,,,,,,,
,,,,,,,,,,
88,Loose Lips,Rye whiskey,1.00,Shake and fine strain,Coupe,-,Rosemary on peg,Autumn,Medium,Sweet & Sour
,,Gentian,0.50,,,,,Spring,,Herbal
,,Veda,0.50,,,,,Summer,,
,,Lemon juice,0.33,,,,,,,
,,Lime juice,0.33,,,,,,,
,,Maraschino liqueur,0.33,,,,,,,
,,Benedictine,0.10,,,,,,,
,,,,,,,,,,
89,Strawberry Fields,Strawberries,2 hulled,Shake and fine strain,Coupe,-,Sugarred rim,Summer,Light,Sweet & Sour
,,Raspberry vodka,1.50,,,,,Spring,,Fruity
,,Veda,0.20,,,,,,,
,,Strawberry syrup,0.33,,,,,,,
,,Lemon juice,0.33,,,,,,,
,,,,,,,,,,
90,Chocolate Mushroom,Bourbon,1.50,Stir,Nick & Nora,-,Orange zest,Winter,Strong,Sweet
,,Veda,0.50,,,,,Autumn,,
,,Creme de cacao,0.25,,,,,,,
